ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
60,20,0.75,3,3,2.0,8,8,1.0,30.57762000000033,305,3.8222025000000412,3.8195350000000183,0.7188899999999832,-1.852810486252186,2.13925613627523,2.137415648656059,1.1891432525514518,29,38.125,151,154,0.5599305594845599
55,20,0.75,3,3,2.4,8,8,1.0,30.64817000000022,305,3.8310212500000276,4.29097500000003,1.5077979999999824,-2.3553263351786766,2.0305735645710223,2.0812129296326294,1.3809254089559655,29,38.125,153,152,0.5599197004108972
50,24,0.75,3,4,2.2,8,8,1.0,29.41290400000005,261,3.6766130000000063,3.8051850000000553,0.14135399999999354,-1.5346648824065965,2.3071511922888535,2.33609579856937,1.045606891656452,26,32.625,147,114,0.559806900868668
50,24,0.8,4,4,2.0,8,8,1.0,22.339729999999957,184,2.7924662499999946,2.838390000000024,0.8218600000000187,-1.017749574836698,2.7711070362718404,2.9566288413024595,1.426032865066619,17,23.0,104,80,0.5592819060420732
55,20,0.8,4,4,2.0,8,8,1.0,24.456240000000108,217,3.0570300000000135,3.049565000000054,0.5126600000000092,-1.2717024214583772,2.487118396765365,2.3314234714498925,1.230311688545071,20,27.125,121,96,0.5589207752727796
55,28,0.75,4,4,2.2,8,8,1.0,30.30275600000021,285,3.787844500000026,3.7131950000001135,0.12711800000002604,-1.3728850701564792,2.2117984808055327,2.2019163659430157,1.038260204788026,28,35.625,157,128,0.5588912418810161
55,20,0.85,3,3,2.2,8,8,1.0,23.814772000000175,195,2.976846500000022,2.926421000000057,2.380702000000001,-1.6296767164871546,2.5006901899259213,2.530784746136434,1.9263940576741736,15,24.375,96,99,0.558247283220828
55,20,0.8,4,3,2.4,8,8,1.0,27.952910000000287,266,3.494113750000036,3.8250260000000424,1.297042000000026,-1.8502317091278617,2.182916851008894,2.141883401476177,1.3318303805564504,23,33.25,133,133,0.5579913117270645
60,20,0.8,3,3,2.2,8,8,1.0,27.061870000000532,253,3.3827337500000665,3.703252000000057,1.0387640000000475,-2.2430639444889877,2.205611067412199,2.150300874946825,1.4206731489618434,21,31.625,123,130,0.5573741721066408
55,24,0.75,4,4,2.4,8,8,1.0,29.58528000000011,277,3.698160000000014,3.4758080000001135,0.35469000000003525,-1.6107852434731376,2.1790997335308084,2.1963384632385017,1.105955101492146,27,34.625,154,123,0.5560840645188609
